Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale,File,Length
Duct Wrap,25 mm,400x150-400x150,2.0,0.131 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,750x150-750x150,2.0,0.208 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,200x400,1.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x250,6.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x350,1.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,300x350,5.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x200,1.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x300,2.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x300,1.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x350,3.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,650x350,1.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,700x350,4.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,150x300-300x150,1.0,0.287 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,200x200-200x150,1.0,0.233 m²,0.000 m²,Flat on Right and Left,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,200x300-300x200,1.0,0.341 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x200-200x200,1.0,0.276 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x200-300x150,1.0,0.296 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x250-200x200,1.0,0.300 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x250-200x250,1.0,0.320 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x300-200x300,1.0,0.364 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x300-300x250,1.0,0.396 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x300-450x150,1.0,0.418 m²,0.000 m²,Flat on Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,300x250-250x250,2.0,0.745 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,300x250-400x150,1.0,0.394 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,300x300-250x250,1.0,0.400 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,300x300-250x300,5.0,2.115 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,300x350-300x250,2.0,0.909 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,300x400-200x400,1.0,0.490 m²,0.000 m²,"Flat on Top, Bottom, Right",,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,350x300-250x300,1.0,0.453 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,350x350-350x200,2.0,0.983 m²,0.000 m²,"Flat on Right, Left, Bottom",,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x150-300x200,1.0,0.359 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x200-300x200,1.0,0.392 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x200-300x250,1.0,0.419 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x200-400x150,1.0,0.404 m²,0.000 m²,Flat on Right and Left,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x250-300x250,3.0,1.354 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x250-400x200,1.0,0.470 m²,0.000 m²,"Flat on Right, Left, Top",,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
