,Family and Type,File,Quantity,Category
105,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.276,1
106,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.296,1
107,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.3,1
108,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.32,1
109,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.364,1
110,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.396,1
111,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.418,1
112,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.745,1
113,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.394,1
114,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.4,1
115,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.115,1
116,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.909,1
117,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.49,1
118,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.453,1
119,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.983,1
120,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.359,1
121,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.392,1
122,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.419,1
123,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.404,1
124,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.354,1
125,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.47,1
126,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.511,1
